2025-08-06 08:39:57,323 [main] INFO  org.apache.spark.deploy.worker.Worker - Started daemon with process name: 33@079a944478eb
2025-08-06 08:39:57,354 [main] INFO  org.apache.spark.util.SignalUtils - Registering signal handler for TERM
2025-08-06 08:39:57,358 [main] INFO  org.apache.spark.util.SignalUtils - Registering signal handler for HUP
2025-08-06 08:39:57,359 [main] INFO  org.apache.spark.util.SignalUtils - Registering signal handler for INT
2025-08-06 08:39:58,060 [main] INFO  org.apache.spark.SecurityManager - Changing view acls to: spark
2025-08-06 08:39:58,062 [main] INFO  org.apache.spark.SecurityManager - Changing modify acls to: spark
2025-08-06 08:39:58,065 [main] INFO  org.apache.spark.SecurityManager - Changing view acls groups to: 
2025-08-06 08:39:58,077 [main] INFO  org.apache.spark.SecurityManager - Changing modify acls groups to: 
2025-08-06 08:39:58,080 [main] INFO  org.apache.spark.SecurityManager - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: spark; groups with view permissions: EMPTY; users with modify permissions: spark; groups with modify permissions: EMPTY
2025-08-06 08:39:58,525 [main] WARN  org.apache.hadoop.util.NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2025-08-06 08:39:59,620 [main] INFO  org.apache.spark.util.Utils - Successfully started service 'sparkWorker' on port 39517.
2025-08-06 08:39:59,632 [main] INFO  org.apache.spark.deploy.worker.Worker - Worker decommissioning not enabled.
2025-08-06 08:40:00,067 [dispatcher-event-loop-1] INFO  org.apache.spark.deploy.worker.Worker - Starting Spark worker 172.18.0.11:39517 with 12 cores, 6.6 GiB RAM
2025-08-06 08:40:00,081 [dispatcher-event-loop-1] INFO  org.apache.spark.deploy.worker.Worker - Running Spark version 3.4.1
2025-08-06 08:40:00,086 [dispatcher-event-loop-1] INFO  org.apache.spark.deploy.worker.Worker - Spark home: /opt/bitnami/spark
2025-08-06 08:40:00,143 [dispatcher-event-loop-1] INFO  org.apache.spark.resource.ResourceUtils - ==============================================================
2025-08-06 08:40:00,145 [dispatcher-event-loop-1] INFO  org.apache.spark.resource.ResourceUtils - No custom resources configured for spark.worker.
2025-08-06 08:40:00,147 [dispatcher-event-loop-1] INFO  org.apache.spark.resource.ResourceUtils - ==============================================================
2025-08-06 08:40:00,236 [dispatcher-event-loop-1] INFO  org.sparkproject.jetty.util.log - Logging initialized @6922ms to org.sparkproject.jetty.util.log.Slf4jLog
2025-08-06 08:40:00,323 [dispatcher-event-loop-1] INFO  org.apache.spark.ui.JettyUtils - Start Jetty 0.0.0.0:8081 for WorkerUI
2025-08-06 08:40:00,342 [dispatcher-event-loop-1] INFO  org.sparkproject.jetty.server.Server - jetty-9.4.50.v20221201; built: 2022-12-01T22:07:03.915Z; git: da9a0b30691a45daf90a9f17b5defa2f1434f882; jvm 17.0.9+11-LTS
2025-08-06 08:40:00,406 [dispatcher-event-loop-1] INFO  org.sparkproject.jetty.server.Server - Started @7094ms
2025-08-06 08:40:00,544 [dispatcher-event-loop-1] INFO  org.sparkproject.jetty.server.AbstractConnector - Started ServerConnector@2843fa6a{HTTP/1.1, (http/1.1)}{0.0.0.0:8081}
2025-08-06 08:40:00,545 [dispatcher-event-loop-1] INFO  org.apache.spark.util.Utils - Successfully started service 'WorkerUI' on port 8081.
